Ring 1,Monomer,Dimer,Trimer,Trimer-Dimer,Trimer-Monomer
O1,-0.08859,-0.03121,-0.01065,0.02056,0.07793
C1,0.18272,-0.30481,0.01888,0.32369,-0.16384
C1H,0.13625,0.13965,0.14254,0.00289,0.00629
C1 Ocap,-0.15073,0.15084,0.20754,0.05670,0.35827
C2,-0.62807,-0.32240,-0.58978,-0.26738,0.03829
C2H,0.22606,0.23654,0.24347,0.00693,0.01741
N1Ox,0.16183,0.28293,0.19557,-0.08735,0.03374
N1,-0.27555,-0.38563,-0.30544,0.08020,-0.02989
N1Ot1,0.02659,0.05080,0.05265,0.00185,0.02606
N1Ot2,0.05490,0.08088,0.08833,0.00746,0.03343
C3,-0.17080,-0.22297,-0.33778,-0.11481,-0.16698
C3H,0.19218,0.19362,0.19379,0.00017,0.00161
C3O,-0.24529,-0.19800,-0.20326,-0.00526,0.04203
C3OH,0.25402,0.24757,0.24985,0.00228,-0.00417
C4,-0.09334,-0.44991,-0.29786,0.15205,-0.20452
C4H,0.15766,0.19473,0.19580,0.00107,0.03814
C4 Ocap,-0.09986,-0.11619,-0.07430,0.04189,0.02556
C5,-0.29708,0.14055,0.03670,-0.10385,0.33378
C5H,0.17896,0.16438,0.16666,0.00229,-0.01230
C6,-0.23716,-0.43021,-0.35941,0.07080,-0.12225
C6H1,0.15456,0.16628,0.17585,0.00957,0.02129
C6H2,0.16665,0.16315,0.15878,-0.00436,-0.00787
C6O,-0.30631,-0.25866,-0.25610,0.00257,0.05022
C6OH,0.24562,0.26001,0.25645,-0.00356,0.01083
