Ring 1 & Monomer & Dimer & Trimer & Trimer-Dimer & Trimer-Monomer //
O1 & -0.08859 & -0.03121 & -0.00662 & 0.02459 & 0.08197 //
C1 & 0.18272 & -0.30481 & 0.01734 & 0.32216 & -0.16538 //
C1H & 0.13625 & 0.13965 & 0.14343 & 0.00378 & 0.00718 //
C1 Ocap & -0.15073 & 0.15084 & 0.21080 & 0.05996 & 0.36153 //
C2 & -0.62807 & -0.32240 & -0.58425 & -0.26184 & 0.04382 //
C2H & 0.22606 & 0.23654 & 0.24326 & 0.00672 & 0.01720 //
N1Ox & 0.16183 & 0.28293 & 0.19402 & -0.08890 & 0.03219 //
N1 & -0.27555 & -0.38563 & -0.30347 & 0.08217 & -0.02792 //
N1Ot1 & 0.02659 & 0.05080 & 0.05392 & 0.00312 & 0.02733 //
N1Ot2 & 0.05490 & 0.08088 & 0.08682 & 0.00594 & 0.03191 //
C3 & -0.17080 & -0.22297 & -0.34537 & -0.12240 & -0.17457 //
C3H & 0.19218 & 0.19362 & 0.19384 & 0.00022 & 0.00166 //
C3O & -0.24529 & -0.19800 & -0.20316 & -0.00515 & 0.04214 //
C3OH & 0.25402 & 0.24757 & 0.24983 & 0.00226 & -0.00419 //
C4 & -0.09334 & -0.44991 & -0.29491 & 0.15499 & -0.20157 //
C4H & 0.15766 & 0.19473 & 0.19542 & 0.00069 & 0.03776 //
C4 Ocap & -0.09986 & -0.11619 & -0.07415 & 0.04204 & 0.02571 //
C5 & -0.29708 & 0.14055 & 0.03937 & -0.10118 & 0.33644 //
C5H & 0.17896 & 0.16438 & 0.16634 & 0.00197 & -0.01262 //
C6 & -0.23716 & -0.43021 & -0.36154 & 0.06868 & -0.12438 //
C6H1 & 0.15456 & 0.16628 & 0.17551 & 0.00923 & 0.02095 //
C6H2 & 0.16665 & 0.16315 & 0.15838 & -0.00476 & -0.00827 //
C6O & -0.30631 & -0.25866 & -0.25654 & 0.00212 & 0.04978 //
C6OH & 0.24562 & 0.26001 & 0.25692 & -0.00308 & 0.01131 //
